movieId,title,release_date,video_release_date,imdb_url,imdb_title_id,original_title,year,date_published,genres,duration,country,language,director,screen writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,productionId_x,volume,remaining_volume
1,Toy Story,1-Jan-95,,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),tt0114709,Toy Story,1995,3/22/96,"Animation, Adventure, Comedy",81,USA,English,John Lasseter,"John Lasseter, Pete Docter",Pixar Animation Studios,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette, Jack Angel, Spencer Aste",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,8.3,822929,"$30,000,000 ","$222,498,679 ","$406,594,102 ",95,538,193,0,1,1
2,GoldenEye,1-Jan-95,,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),tt0113189,GoldenEye,1995,11/24/95,"Action, Adventure, Thriller",130,"UK, USA","English, Russian, Spanish",Martin Campbell,"Ian Fleming, Michael France",Eon Productions,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Tchéky Karyo, Gottfried John, Alan Cumming, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz","Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as Goldeneye is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",7.2,226345,"$60,000,000 ","$106,429,941 ","$352,194,034 ",65,451,104,1,1,1
751,Tomorrow Never Dies,1-Jan-97,,http://us.imdb.com/M/title-exact?imdb-title-120347,tt0120347,Tomorrow Never Dies,1997,12/12/97,"Action, Adventure, Thriller",119,"UK, USA","English, German, Danish, Mandarin, Cantonese",Roger Spottiswoode,Bruce Feirstein,Eon Productions,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Ricky Jay, Götz Otto, Joe Don Baker, Vincent Schiavelli, Judi Dench, Desmond Llewelyn, Samantha Bond, Colin Salmon, Geoffrey Palmer, Julian Fellowes, Terence Rigby",James Bond heads to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,6.5,171354,"$110,000,000 ","$125,304,276 ","$333,011,068 ",52,357,95,1,1,1
3,Four Rooms,1-Jan-95,,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),tt0113101,Four Rooms,1995,12/27/95,Comedy,98,USA,English,"Allison Anders, Alexandre Rockwell","Allison Anders, Alexandre Rockwell",Miramax,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna, Ione Skye, Lili Taylor, Alicia Witt, Jennifer Beals, David Proval, Antonio Banderas, Lana McKissack, Patricia Vonne, Tamlyn Tomita, Danny Verduzco, Salma Hayek",Four interlocking tales that take place in a fading hotel on New Year's Eve.,6.8,92799,"$4,000,000 ","$4,257,354 ","$4,257,354 ",,190,58,2,1,1
56,Pulp Fiction,1-Jan-94,,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),tt0110912,Pulp Fiction,1994,10/28/94,"Crime, Drama",154,USA,"English, Spanish, French",Quentin Tarantino,"Quentin Tarantino, Roger Avary",Miramax,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta, Samuel L. Jackson, Phil LaMarr, Frank Whaley, Burr Steers, Bruce Willis, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Uma Thurman","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,1695085,"$8,000,000 ","$107,928,762 ","$214,179,088 ",94,2766,278,2,1,1
223,Sling Blade,22-Nov-96,,http://us.imdb.com/M/title-exact?Sling%20Blade%20(1996),tt0117666,Sling Blade,1996,7/10/98,Drama,135,USA,English,Billy Bob Thornton,"Billy Bob Thornton, Billy Bob Thornton",Miramax,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black, Natalie Canerday, James Hampton, Robert Duvall, Rick Dial, Brent Briscoe, Christine Renee Ward, Sarah Boss, Kathy Sue Brown, Wendell Rafferty, Bruce Hampton","Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",8,83025,"$1,000,000 ","$24,444,121 ","$24,444,121 ",84,315,105,2,1,1
319,Everyone Says I Love You,6-Dec-96,,http://us.imdb.com/M/title-exact?Everyone%20Says%20I%20Love%20You%20(1996),tt0116242,Everyone Says I Love You,1996,4/20/97,"Comedy, Musical, Romance",101,USA,"English, French, Italian, Hindi",Woody Allen,Woody Allen,Miramax,"Edward Norton, Drew Barrymore, Diva Gray, Ami Almendral, Madeline Balmaceda, Vivian Cherry, Tommie Baxter, Jeff DeRocker, Cherylyn Jones, Tina Paul, Vikki Schnurr, Natasha Lyonne, Kevin Hagan, Alan Alda, Gaby Hoffmann",A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,6.7,33931,"$20,000,000 ","$9,759,200 ","$9,759,200 ",,139,55,2,1,1
327,Cop Land,1-Jan-97,,http://us.imdb.com/M/title-exact?Cop+Land+(1997),tt0118887,Cop Land,1997,12/5/97,"Crime, Drama, Thriller",105,USA,English,James Mangold,James Mangold,Miramax,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro, Peter Berg, Janeane Garofalo, Robert Patrick, Michael Rapaport, Annabella Sciorra, Noah Emmerich, Cathy Moriarty, John Spencer, Frank Vincent, Malik Yoba, Arthur J. Nascarella","The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption.",6.9,81026,"$15,000,000 ","$44,862,187 ","$44,862,187 ",64,228,144,2,1,1
346,Jackie Brown,1-Jan-97,,http://us.imdb.com/M/title-exact?imdb-title-119396,tt0119396,Jackie Brown,1997,4/10/98,"Crime, Drama, Thriller",154,USA,English,Quentin Tarantino,"Quentin Tarantino, Elmore Leonard",Miramax,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro, Michael Bowen, Chris Tucker, LisaGay Hamilton, Tommy 'Tiny' Lister, Hattie Winston, Sid Haig, Aimee Graham, Ellis Williams, Tangie Ambrose",A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.,7.5,294124,"$12,000,000 ","$39,673,162 ","$39,673,162 ",64,507,165,2,1,1
425,Bob Roberts,1-Jan-92,,http://us.imdb.com/M/title-exact?Bob%20Roberts%20(1992),tt0103850,Bob Roberts,1992,11/13/92,"Comedy, Drama",102,"USA, UK",English,Tim Robbins,Tim Robbins,Miramax,"Tim Robbins, Giancarlo Esposito, Alan Rickman, Ray Wise, Brian Murray, Gore Vidal, Rebecca Jenkins, Harry Lennix, John Ottavino, Robert Stanton, Kelly Willis, Merrilee Dale, Tom Atkins, David Strathairn, James Spader","A conservative folk singer turns his hand to politics, running for the US Senate. He is not above dirty tricks and smear campaigns to gain an advantage over his opponent.",7,12727,,"$4,479,470 ","$4,479,470 ",70,103,43,2,1,1
